Title,Publisher,DateTime,Link
Asian Stocks Rise as Powell Signals Fed Will Cut: Markets Wrap,Bloomberg.com,2025-08-25T01:59:00Z,https://news.google.com/read/CBMirwFBVV95cUxQS3pxSVpBaVdQZUdac1I5NUlSTnphODdpTlVYSDc4bWd6bVRHcVVrT2kxZE9PaVZ2ZThUVWdyN25QRVdQNFlTd2ZmSllPUWJCQlFRRXNoa216ckRXRnJzV0hDNVJJay03LWcyQ2NnbGpIalFDVGxTSTlVb2dHNEVxQjVVOUJrc20zZDNBVkJ6NElPWnRaZmx5X1YxcTZjY09fTmw2blNCbEpFVmZLS2FF?hl=en-US&gl=US&ceid=US%3Aen
CNBC Daily Open: All roads lead to Jerome Powell,CNBC,2025-08-25T00:45:00Z,https://news.google.com/read/CBMijAFBVV95cUxPSmVxZXdoblM4U2NfZldjTXlZdTJTU1gzNEo4TTExVW5fdllteFdnTU1NYnJYZ25uUG92TG53amhObWNGNTI4SjRwNk1NUW9MWEV2UEF0cGFEMDl4UjhBRlhKeGp6eVJkajhiNGVRcTQ0Uk1abDFPbXpsaTFBcEIwR3dfNzVhMktTdG92etIBkgFBVV95cUxOODlqZmZWakRHREdWZGNMNGRHMG5QNHZ4TUp5aWpFNE0xYm1qeHhhZ3JRckc1RzJ6aC1XUzloVFNaaXdfVEl5dUNUWEJ4V2RsdU5qY1kxcXRtNElfMzF2c1VhbWhkUzdYODhfQTZNVHhWZ3Bhbkt6VWlUbE93b2FEcWlBVUJicG41Sm5DNURaSnF2dw?hl=en-US&gl=US&ceid=US%3Aen
Industrial Metals Rise After Dovish Powell Signals Fed Rate Cut,Bloomberg.com,2025-08-25T02:14:00Z,https://news.google.com/read/CBMitAFBVV95cUxNSDFieUg4ckRFTVczVVJwQ1dmQUdSck5JX0JtanNKX3ozOGU2U3VHdVNuUV9sU21kQ3VEb3I0VmkzcU1tQVMxNGJWdkQtS0NoM2ZtRzF0MTNDV3g3QV9zbnFxbWpIVFpHcWNoSE9aU2JDNE9LWUZUU05zRTAzellPNmVqemUxWnB0NjNmN1Q2NmVhODVLUHM1N3hBZmNHVVBEcV85LWhKVzcwS3JSSE80NkZmWFY?hl=en-US&gl=US&ceid=US%3Aen
Powell’s Rate Cut Signal Reflects Economy’s Delicate Position,The Wall Street Journal,2025-08-23T09:30:00Z,https://news.google.com/read/CBMisgFBVV95cUxNTlllcV9ubFpfUVBrQk96MXVZSE5qdnFjS3pZMXhzdG5TdER0UkNrTXZXdGlNbXRhZlo0TWtDQjZVbDkyc2NpdGlTUE5DOTl5U09XZzZCZ09VZWNSNXJibnhRM25Fc1BON0ZlU0twTXAzemlwQzdxWktzeDFvNkhHMV95dHh5azNRTFo3cVJVbGxwVEtGcDJLWWNJbHhJTVZtRmZUZjBHQXJuTC1qckE4MjZ3?hl=en-US&gl=US&ceid=US%3Aen
Keurig Dr Pepper nears $18bn deal to buy European coffee group JDE Peet’s,Financial Times,2025-08-24T23:15:07Z,https://news.google.com/read/CBMicEFVX3lxTE9MN0FsNF9zSzhsc05JSXNLdDFPa0FMaloxRXNZTVBqRVhuSjhqTWcxUWFsV3doWEJ0NHlFQ3JPV2lGRW9BazRoZDhrSVdhaElXbXVmamxrR0RnTWw2YnRCaE9MS3FhcngzbTZ4OGZ5UmM?hl=en-US&gl=US&ceid=US%3Aen
"Keurig Dr Pepper nears $18-billion deal for Dutch coffee company JDE Peet's, WSJ reports",CNBC,2025-08-24T22:34:28Z,https://news.google.com/read/CBMivwFBVV95cUxNVmdwNlFxdUxqLVhnVUVOc0FQaDdlS1NNaEZSV2MwdUtkazVRSm1yMWp3ZWppRjlZdTMtX0dyQ1ZTVEZsdEF1UnZ4N2pmMHVlM0ZFM3lPTXRUT0ZEZWVjdHFFNUpvMlZKU2dLZU9SX2M5Y0RZbEZRQXZkaGVxTVhwTURvcFZkMUk1TlZUNWdXN21hMTU2Zk41dGl4N0dIUmFEV2M0anV5Rk5nbldjeE12UjRVRUxFQ1YxMFVsN3dya9IBxAFBVV95cUxPMGVjSXAybkRrYkhnZEx0eGI2bW1lZDhuZFVUcVk3V3NsWXhpd0Jpa1U0N0JWQ3Y1N3FhUE80UFVObGZHdHdXMmg5RERCZ3lMSGQ3R3NYSFBWM2s1TDdQM3BSbmw2RWV4Rjh3b3lSMnc0TUFmR0F0NzRhR2pqa1E4VXFzV0RCQXc4ZV9tLXE5ejVWRllydWhHTHdfdllRbERoX2xBRjVEODVHbVZFeUZHSjdXdWhwWGVkN0RETlUyNzBteUp1?hl=en-US&gl=US&ceid=US%3Aen
Keurig Dr Pepper reportedly near $18 billion deal to buy coffee company JDE Peet’s,MarketWatch,2025-08-24T23:21:00Z,https://news.google.com/read/CBMiwAFBVV95cUxPZ1FLQ3hRRVlSbnpES1diTHRzQUFHdXRqeEZvWEZFREZ5S2pwRzg5bEdTZEhHb3JOdUxoTFZhWXZSUzhWZWlMR0hPU2M1Y1VaVFFZTEhPdGlSRzRpNjRMSThkcXpXMlVDWDQxVzhvbEJKMmRJVVZtNUk5VEw0WGZ2ZnBEQ2NSdFEzSTJxSEtLOFVyVDFVcjB3NG05UHo4NElRYV9VWkxpbFFKcDJTcW83VXFtc3V5c1RpUEVqWVdqeWo?hl=en-US&gl=US&ceid=US%3Aen
Keurig Dr Pepper near $18B takeover deal for JDE Peet’s - WSJ (KDP:NASDAQ),Seeking Alpha,2025-08-25T01:57:45Z,https://news.google.com/read/CBMinAFBVV95cUxPTlZxeG45djhGclJDMWtUdmpSclVCYkg0WEw1MEJSZmJxdGpORFo4Z1h2Q05rTmdWdENQWGF2bjlWNVNwLUlKeTh1QWM5YUtudUwxRHJFcjRqZDdydU9zVVczTlZfa2VpOXU3eS0yZVpLdnVYUUxaX3hMYmFHcVFxSGlFYTZyX2xVUUZydHJQWWNPd3RGWXF6SjR2WHc?hl=en-US&gl=US&ceid=US%3Aen
"What To Expect in Markets This Week: Nvidia Earnings, a Key Measure of Inflation, and More",Investopedia,2025-08-24T10:00:00Z,https://news.google.com/read/CBMiwwFBVV95cUxPYVpKazRuZzVJZzRoa21tV18tc3dqWkdYZVVSaW41cm5CUTI4Wmo0SUhpTElhWnZwQ1lsR3NiX04tY2JmbmpyX3F0aXBsMnFkYWRnREM0SUJKekhBb0d5Mk5GbmZ0b3U4TlpnbVl1c2M3Uktzc0x2TmEyZ3lTVXRzbVNfX2w5dEZtUWhGWFNBT2FxWEVYa3BKNkFQWGRQV2VPeTFVT0FsQkZfdVRCZEtaQ3BaWEhUbnM2V1J2V05yUzlTR1U?hl=en-US&gl=US&ceid=US%3Aen
Nvidia earnings set to test AI trade with stocks near record highs: What to watch this week,Yahoo Finance,2025-08-24T11:55:13Z,https://news.google.com/read/CBMi0gFBVV95cUxPQlNfMG9YZWR1ZVZlMjl5T1EtSkdJTVF2Y2twNjE0OEFmSFVrNXdURzctNFlxR0JvaW03Ry1iRDNjXzFMS3B0MF9HX1lKRW1XSjBSa0Z3R0txWVBxMmszTEFtal9PbHdTanZJeVVDTkxNbF9ac0tDcmtrbFFmMHlYUElsWUF3bElWMVFWeHBQSjd1amRPUmNFUVhMT0lrZ1pFZy1vQndUaDBLbEhIbDVLNDhBSjBucmtTRExkRWJ2VnpJdWJQa2RpSW1adFNoWjZaV1E?hl=en-US&gl=US&ceid=US%3Aen
