Title,Publisher,DateTime,Link
Miley Cyrus Says This Moment With Taylor Swift and Demi Lovato Shows She's Bisexual,E! NEWS,2023-09-01T03:00:00Z,https://news.google.com/articles/CBMid2h0dHBzOi8vd3d3LmVvbmxpbmUuY29tL25ld3MvMTM4NDYyMi9taWxleS1jeXJ1cy1zYXlzLXRoaXMtbW9tZW50LXdpdGgtdGF5bG9yLXN3aWZ0LWFuZC1kZW1pLWxvdmF0by1zaG93cy1zaGVzLWJpc2V4dWFs0gEA?hl=en-US&gl=US&ceid=US%3Aen
Miley Cyrus reflects on her 2008 Vanity Fair cover controversy,CNN,2023-08-31T15:08:00Z,https://news.google.com/articles/CBMiVWh0dHBzOi8vd3d3LmNubi5jb20vMjAyMy8wOC8zMS9lbnRlcnRhaW5tZW50L21pbGV5LWN5cnVzLXZhbml0eS1mYWlyLWNvdmVyL2luZGV4Lmh0bWzSAQA?hl=en-US&gl=US&ceid=US%3Aen
Miley Cyrus Recalls Leaving 'Hannah Montana' Movie Premiere for the Cheesecake Factory with Taylor Swift and Demi Lovato,PEOPLE,2023-08-31T22:33:47Z,https://news.google.com/articles/CBMigAFodHRwczovL3Blb3BsZS5jb20vbWlsZXktY3lydXMtcmVjYWxscy1sZWF2aW5nLWhhbm5haC1tb250YW5hLW1vdmllLXByZW1pZXJlLWNoZWVzZWNha2UtZmFjdG9yeS10YXlsb3Itc3dpZnQtZGVtaS1sb3ZhdG8tNzk2NDQ4NNIBAA?hl=en-US&gl=US&ceid=US%3Aen
Hawaii wildfires: Oprah and The Rock pledge direct payments to victims in Maui,BBC,2023-09-01T02:04:13Z,https://news.google.com/articles/CBMiMWh0dHBzOi8vd3d3LmJiYy5jb20vbmV3cy93b3JsZC11cy1jYW5hZGEtNjY2NzkzNzjSATVodHRwczovL3d3dy5iYmMuY29tL25ld3Mvd29ybGQtdXMtY2FuYWRhLTY2Njc5Mzc4LmFtcA?hl=en-US&gl=US&ceid=US%3Aen
"Oprah Winfrey, Dwayne Johnson launch the People's Fund of Maui",CBS Mornings,2023-08-31T12:35:14Z,https://news.google.com/articles/CCAiC1N0VzZzM1lIUV9NmAEB?hl=en-US&gl=US&ceid=US%3Aen
"Oprah Winfrey Heard Resident’s Outrage, Teams Up With The Rock to Launch Relief Fund for Hawaii Victims Affected By Maui Wildfires with $10 Million Donation",Yahoo Entertainment,2023-08-31T19:45:34Z,https://news.google.com/articles/CBMiV2h0dHBzOi8vd3d3LnlhaG9vLmNvbS9lbnRlcnRhaW5tZW50L29wcmFoLXdpbmZyZXktaGVhcmQtcmVzaWRlbnQtb3V0cmFnZS0xOTQ1MzQ2NDguaHRtbNIBX2h0dHBzOi8vd3d3LnlhaG9vLmNvbS9hbXBodG1sL2VudGVydGFpbm1lbnQvb3ByYWgtd2luZnJleS1oZWFyZC1yZXNpZGVudC1vdXRyYWdlLTE5NDUzNDY0OC5odG1s?hl=en-US&gl=US&ceid=US%3Aen
Oprah Winfrey and Dwayne Johnson launch Maui recovery fund with $10 million donation,ABC7,2023-08-31T21:27:40Z,https://news.google.com/articles/CCAiCzhaMmVjREpHQWhRmAEB?hl=en-US&gl=US&ceid=US%3Aen
‘Exorcist: Believer’ Moves a Week Earlier to Avoid Taylor Swift’s Eras Tour Film,Variety,2023-08-31T20:56:00Z,https://news.google.com/articles/CBMidWh0dHBzOi8vdmFyaWV0eS5jb20vMjAyMy9maWxtL25ld3MvdGF5bG9yLXN3aWZ0LWVyYXMtY29uY2VydC1maWxtLWV4b3JjaXN0LWJlbGlldmVyLW1vdmVzLXVwLXJlbGVhc2UtZGF0ZS0xMjM1NzEwMDk3L9IBeWh0dHBzOi8vdmFyaWV0eS5jb20vMjAyMy9maWxtL25ld3MvdGF5bG9yLXN3aWZ0LWVyYXMtY29uY2VydC1maWxtLWV4b3JjaXN0LWJlbGlldmVyLW1vdmVzLXVwLXJlbGVhc2UtZGF0ZS0xMjM1NzEwMDk3L2FtcC8?hl=en-US&gl=US&ceid=US%3Aen
TAYLOR SWIFT | THE ERAS TOUR at an AMC Theatre near you.,AMC Scene,2023-08-31T18:21:08Z,https://news.google.com/articles/CBMiQ2h0dHBzOi8vd3d3LmFtY3RoZWF0cmVzLmNvbS9tb3ZpZXMvdGF5bG9yLXN3aWZ0LXRoZS1lcmFzLXRvdXItNzQ1MDDSAQA?hl=en-US&gl=US&ceid=US%3Aen
"Don't Blame Me: Taylor Swift Concert Film and AMC Infuriates Studios, Creates Chaos",IndieWire,2023-08-31T20:57:14Z,https://news.google.com/articles/CBMiZ2h0dHBzOi8vd3d3LmluZGlld2lyZS5jb20vbmV3cy9ib3gtb2ZmaWNlL3RheWxvci1zd2lmdC10aGUtZXJhcy10b3VyLWFtYy1pbmZ1cmlhdGVzLXN0dWRpb3MtMTIzNDkwMTIyNy_SAQA?hl=en-US&gl=US&ceid=US%3Aen
"Dear AMC Stock Fans, Mark Your Calendars for Oct. 13",InvestorPlace,2023-08-31T14:10:49Z,https://news.google.com/articles/CBMiVWh0dHBzOi8vaW52ZXN0b3JwbGFjZS5jb20vMjAyMy8wOC9kZWFyLWFtYy1zdG9jay1mYW5zLW1hcmsteW91ci1jYWxlbmRhcnMtZm9yLW9jdC0xMy_SAQA?hl=en-US&gl=US&ceid=US%3Aen
‘One Piece’ Buzz Grows Across Social Media Platforms As Manga Adaptation Launches On Netflix,Deadline,2023-09-01T00:04:00Z,https://news.google.com/articles/CBMiamh0dHBzOi8vZGVhZGxpbmUuY29tLzIwMjMvMDgvb25lLXBpZWNlLXRyZW5kaW5nLXNvY2lhbC1tZWRpYS1tYW5nYS1hZGFwdGF0aW9uLXByZW1pZXJlLW5ldGZsaXgtMTIzNTUzMzQ5MS_SAW5odHRwczovL2RlYWRsaW5lLmNvbS8yMDIzLzA4L29uZS1waWVjZS10cmVuZGluZy1zb2NpYWwtbWVkaWEtbWFuZ2EtYWRhcHRhdGlvbi1wcmVtaWVyZS1uZXRmbGl4LTEyMzU1MzM0OTEvYW1wLw?hl=en-US&gl=US&ceid=US%3Aen
One Piece Review,IGN,2023-08-31T07:01:45Z,https://news.google.com/articles/CBMiNWh0dHBzOi8vd3d3Lmlnbi5jb20vYXJ0aWNsZXMvb25lLXBpZWNlLW5ldGZsaXgtcmV2aWV30gEA?hl=en-US&gl=US&ceid=US%3Aen
'One Piece' review: Netflix does the impossible,Mashable,2023-08-31T07:00:00Z,https://news.google.com/articles/CBMiQWh0dHBzOi8vbWFzaGFibGUuY29tL2FydGljbGUvb25lLXBpZWNlLWxpdmUtYWN0aW9uLW5ldGZsaXgtcmV2aWV30gEA?hl=en-US&gl=US&ceid=US%3Aen
Netflix's Live-Action One Piece Adaptation: The Kotaku Review,Kotaku,2023-08-31T07:01:00Z,https://news.google.com/articles/CBMiUmh0dHBzOi8va290YWt1LmNvbS9vbmUtcGllY2UtbmV0ZmxpeC1saXZlLWFjdGlvbi1vZGEtbHVmZnktcmV2aWV3LWFuaW1lLTE4NTA3ODg4NTfSAQA?hl=en-US&gl=US&ceid=US%3Aen
September 2023 horoscopes: Fight to persevere through a record of retrogrades,New York Post ,2023-08-31T23:19:00Z,https://news.google.com/articles/CBMiOGh0dHBzOi8vbnlwb3N0LmNvbS8yMDIzLzA4LzMxL3NlcHRlbWJlci1ob3Jvc2NvcGVzLTIwMjMv0gE8aHR0cHM6Ly9ueXBvc3QuY29tLzIwMjMvMDgvMzEvc2VwdGVtYmVyLWhvcm9zY29wZXMtMjAyMy9hbXAv?hl=en-US&gl=US&ceid=US%3Aen
Your September 2023 Horoscope,Shondaland.com,2023-08-31T11:02:43Z,https://news.google.com/articles/CBMiSGh0dHBzOi8vd3d3LnNob25kYWxhbmQuY29tL2xpdmUvYTQ0ODE4Mzk5L3lvdXItc2VwdGVtYmVyLTIwMjMtaG9yb3Njb3BlL9IBAA?hl=en-US&gl=US&ceid=US%3Aen
"Daily Horoscope: September 1, 2023",VICE,2023-08-31T21:00:00Z,https://news.google.com/articles/CBMiR2h0dHBzOi8vd3d3LnZpY2UuY29tL2VuL2FydGljbGUveTN3bmtnL2RhaWx5LWhvcm9zY29wZS1zZXB0ZW1iZXItMS0yMDIz0gEA?hl=en-US&gl=US&ceid=US%3Aen
Pisces Monthly Horoscope for September 2023 — Astrology Forecast,Cosmopolitan,2023-09-01T03:03:26Z,https://news.google.com/articles/CBMiWWh0dHBzOi8vd3d3LmNvc21vcG9saXRhbi5jb20vbGlmZXN0eWxlL2E0NDk0NTE3NS9waXNjZXMtbW9udGhseS1ob3Jvc2NvcGUtc2VwdGVtYmVyLTIwMjMv0gEA?hl=en-US&gl=US&ceid=US%3Aen
'Summer House' Stars Carl Radke and Lindsay Hubbard Call Off Engagement (Exclusive),Entertainment Tonight,2023-08-31T16:30:00Z,https://news.google.com/articles/CBMib2h0dHBzOi8vd3d3LmV0b25saW5lLmNvbS9zdW1tZXItaG91c2Utc3RhcnMtY2FybC1yYWRrZS1hbmQtbGluZHNheS1odWJiYXJkLWNhbGwtb2ZmLWVuZ2FnZW1lbnQtZXhjbHVzaXZlLTIxMDYzN9IBc2h0dHBzOi8vd3d3LmV0b25saW5lLmNvbS9zdW1tZXItaG91c2Utc3RhcnMtY2FybC1yYWRrZS1hbmQtbGluZHNheS1odWJiYXJkLWNhbGwtb2ZmLWVuZ2FnZW1lbnQtZXhjbHVzaXZlLTIxMDYzNz9hbXA?hl=en-US&gl=US&ceid=US%3Aen
Summer House's Lindsay Hubbard & Carl Radke CALL OFF Engagement | E! News,E! News,2023-08-31T22:13:07Z,https://news.google.com/articles/CCAiC0tHRTdRMG9XYmY0mAEB?hl=en-US&gl=US&ceid=US%3Aen
"'Summer House' stars Lindsay Hubbard and Carl Radke break up, call off engagement",Page Six,2023-08-31T16:36:00Z,https://news.google.com/articles/CBMiVmh0dHBzOi8vcGFnZXNpeC5jb20vMjAyMy8wOC8zMS9zdW1tZXItaG91c2Utc3RhcnMtbGluZHNheS1odWJiYXJkLWNhcmwtcmFka2UtYnJlYWstdXAv0gFaaHR0cHM6Ly9wYWdlc2l4LmNvbS8yMDIzLzA4LzMxL3N1bW1lci1ob3VzZS1zdGFycy1saW5kc2F5LWh1YmJhcmQtY2FybC1yYWRrZS1icmVhay11cC9hbXAv?hl=en-US&gl=US&ceid=US%3Aen
Summer House's Carl Radke and Lindsay Hubbard SPLIT,Entertainment Tonight,2023-09-01T01:00:01Z,https://news.google.com/articles/CCAiCzRCODUyVFdCOVRFmAEB?hl=en-US&gl=US&ceid=US%3Aen
Ariana Grande Splits With Manager Scooter Braun,Rolling Stone,2023-08-31T23:51:14Z,https://news.google.com/articles/CBMiZGh0dHBzOi8vd3d3LnJvbGxpbmdzdG9uZS5jb20vbXVzaWMvbXVzaWMtbmV3cy9hcmlhbmEtZ3JhbmRlLXNwbGl0cy1zY29vdGVyLWJyYXVuLW1hbmFnZXItMTIzNDgwOTkwNi_SAWhodHRwczovL3d3dy5yb2xsaW5nc3RvbmUuY29tL211c2ljL211c2ljLW5ld3MvYXJpYW5hLWdyYW5kZS1zcGxpdHMtc2Nvb3Rlci1icmF1bi1tYW5hZ2VyLTEyMzQ4MDk5MDYvYW1wLw?hl=en-US&gl=US&ceid=US%3Aen
Ariana Grande Leaving Scooter Braun and Management Company HYBE,TMZ,2023-08-31T20:27:00Z,https://news.google.com/articles/CBMiW2h0dHBzOi8vd3d3LnRtei5jb20vMjAyMy8wOC8zMS9hcmlhbmEtZ3JhbmRlLWxlYXZpbmctc2Nvb3Rlci1icmF1bi1tYW5hZ2VtZW50LWNvbXBhbnktaHliZS_SAVtodHRwczovL2FtcC50bXouY29tLzIwMjMvMDgvMzEvYXJpYW5hLWdyYW5kZS1sZWF2aW5nLXNjb290ZXItYnJhdW4tbWFuYWdlbWVudC1jb21wYW55LWh5YmUv?hl=en-US&gl=US&ceid=US%3Aen
Ariana Grande Is Cutting All Ties With Scooter Braun & HYBE,Billboard,2023-08-31T21:27:16Z,https://news.google.com/articles/CBMiUWh0dHBzOi8vd3d3LmJpbGxib2FyZC5jb20vcHJvL2FyaWFuYS1ncmFuZGUtZW5kcy1zY29vdGVyLWJyYXVuLWh5YmUtcmVsYXRpb25zaGlwL9IBAA?hl=en-US&gl=US&ceid=US%3Aen
"Scooter Braun's Artists Left After Feeling 'Underappreciated' Before Management Split, Source Says",Entertainment Tonight,2023-09-01T00:21:00Z,https://news.google.com/articles/CBMid2h0dHBzOi8vd3d3LmV0b25saW5lLmNvbS9zY29vdGVyLWJyYXVucy1hcnRpc3RzLWxlZnQtYWZ0ZXItZmVlbGluZy11bmRlcmFwcHJlY2lhdGVkLWJlZm9yZS1tYW5hZ2VtZW50LXNwbGl0LXNvdXJjZS1zYXlz0gF7aHR0cHM6Ly93d3cuZXRvbmxpbmUuY29tL3Njb290ZXItYnJhdW5zLWFydGlzdHMtbGVmdC1hZnRlci1mZWVsaW5nLXVuZGVyYXBwcmVjaWF0ZWQtYmVmb3JlLW1hbmFnZW1lbnQtc3BsaXQtc291cmNlLXNheXM_YW1w?hl=en-US&gl=US&ceid=US%3Aen
"How Julia Louis-Dreyfus, Emma Stone and Other SAG Members Are Navigating Telluride",Hollywood Reporter,2023-09-01T04:20:35Z,https://news.google.com/articles/CBMifWh0dHBzOi8vd3d3LmhvbGx5d29vZHJlcG9ydGVyLmNvbS9tb3ZpZXMvbW92aWUtbmV3cy9qdWxpYS1sb3Vpcy1kcmV5ZnVzLWVtbWEtc3RvbmUtc2FnLW1lbWJlcnMtbmF2aWdhdGUtdGVsbHVyaWRlLTEyMzU1Nzk3MDQv0gGBAWh0dHBzOi8vd3d3LmhvbGx5d29vZHJlcG9ydGVyLmNvbS9tb3ZpZXMvbW92aWUtbmV3cy9qdWxpYS1sb3Vpcy1kcmV5ZnVzLWVtbWEtc3RvbmUtc2FnLW1lbWJlcnMtbmF2aWdhdGUtdGVsbHVyaWRlLTEyMzU1Nzk3MDQvYW1wLw?hl=en-US&gl=US&ceid=US%3Aen
"Kevin Costner divorce: Christine cries on the stand at child support hearing, lawyer denies she has a boyfriend — here's the latest",Yahoo Entertainment,2023-08-31T23:02:31Z,https://news.google.com/articles/CBMiemh0dHBzOi8vd3d3LnlhaG9vLmNvbS9lbnRlcnRhaW5tZW50L2tldmluLWNvc3RuZXItY2hyaXN0aW5lLWNvc3RuZXItZGl2b3JjZS1jaGlsZC1zdXBwb3J0LWhlYXJpbmctYm95ZnJpZW5kLTIzMDIzMDIzMi5odG1s0gGCAWh0dHBzOi8vd3d3LnlhaG9vLmNvbS9hbXBodG1sL2VudGVydGFpbm1lbnQva2V2aW4tY29zdG5lci1jaHJpc3RpbmUtY29zdG5lci1kaXZvcmNlLWNoaWxkLXN1cHBvcnQtaGVhcmluZy1ib3lmcmllbmQtMjMwMjMwMjMyLmh0bWw?hl=en-US&gl=US&ceid=US%3Aen
Kevin Costner in Divorce Court: Tearful Ex Takes Stand With New Claims,Entertainment Tonight,2023-09-01T02:00:09Z,https://news.google.com/articles/CCAiC0ZwbFVhek9WVmZJmAEB?hl=en-US&gl=US&ceid=US%3Aen
Kevin Costner's Estranged Wife Cries During Court Hearing,PEOPLE,2023-08-31T20:32:58Z,https://news.google.com/articles/CBMiXmh0dHBzOi8vcGVvcGxlLmNvbS9rZXZpbi1jb3N0bmVyLWVzdHJhbmdlZC13aWZlLWNocmlzdGluZS1jcmllcy1kdXJpbmctZGl2b3JjZS1oZWFyaW5nLTc5NjQzODXSAQA?hl=en-US&gl=US&ceid=US%3Aen
