Title,Publisher,DateTime,Link
"US official confirms Pentagon, President Donald Trump planning National Guard deployment in Chicago, Mayor Brandon Johnson speaks",ABC7 Chicago,2025-08-25T00:00:00Z,https://news.google.com/read/CBMi9AFBVV95cUxNVVdCbVo1bkxHTTlSaDhyVVpYLTJMZ2hhdk8zOHZBT1RKLUc0Ul81a1RYcjNvcFNMakNkZm5uTElUVUpqa04yZk1MTEpNbE5hS0dpVW9QUm1RNFBvMldlUm0wS0lweS1rY2pqeTVEeGtPQTZFSXQtNUpKSGV5TFpBTjlJQWk3RnlqRFgzbENOUDhobGNkWDJhZ2JNSnVJdWs0ZXhlRFVLY2xvMW9tbjhVWjZBTEcxbWNIWVM1N1NfZlBZS3JrX1hnQmhyZlRuY0pfbTB6dFg5ZGk5Qno3VVMtdmJEMm9ydFQwQWVwdURjVjFJak5x0gH6AUFVX3lxTE1IZTkyUmdSMTNrU1lTc1E1NFo2cXkza09ZcnZKMXhpRXNMR0VWMTFlRUhyV1NNY2R1b3BVTThzU1VzcUZrSF9BVjFzWGRmX2ZxOTlXZDVoNUZ1bVhRSExaNGJZUlYwWkJRVHFoRGxiazY4amJ1UUltMnFVRmxGRTNJLXQyNHM3cklXSEgwRTVyVXhQWHFCN2ZYXzNRdE5WRUxrdmdWZVkzVmxweE9BTVhyaFZ6QllFVzUyMHA3VXFGeWZobXg3elRVT3BUbVgzbHVNSi01dE9PbHZVSVhkZkRrQTE4Qmx6dmFvWEl5Nlo0Sk5MT0hMaWNxU0E?hl=en-US&gl=US&ceid=US%3Aen
"August 24, 2025: Donald Trump presidency news",CNN,2025-08-25T01:51:00Z,https://news.google.com/read/CBMifkFVX3lxTE9adGdLdEQ5RmJfUTZLcnFwOUtIRUNnT1FRQk5FZTNfc3BKbkgzZkNXWkV6eDVFbkFIZVRNR0RWbTJxUTNCeGhYRGFrcFpZU1dHVVYyV2Z6MW9UYmRIWnJfVjNISGZ5cmZCajhDWURGWFcxUmlIWkpHbUFGb1R0dw?hl=en-US&gl=US&ceid=US%3Aen
Trump news at a glance: Jeffries says president ‘playing games’ with American lives as national guard to be sent to Chicago,The Guardian,2025-08-25T03:25:03Z,https://news.google.com/read/CBMijwFBVV95cUxPVHhTVDNVeGNjdnB0NjY4d0NublI4WEdOUk5fbEt3UzRUVW84XzIxVkVVT1V5RjkwODdyci1kaF9fd0lrUjU5OVhJMXBxNzdFNUpCekRWdGpwTzI1VEF3WkhjQkFJUzVxdjRQam1xWFltTWJzREJlRk5mUkhna1I3ZThCUmt4b3dJdHRoZDBOSQ?hl=en-US&gl=US&ceid=US%3Aen
"After Trump’s Threat to Send National Guard to Chicago, Democrats Push Back",The New York Times,2025-08-24T22:56:56Z,https://news.google.com/read/CBMijwFBVV95cUxQNUxvV216YkdDbmhwcjVMd19qVEpwYjJHektybDBvVEIwcWVWUUFYODdPOGxjajh6NE1jMlpsTFltT204bkRTOUZIQmRhSmF5RmJLdmFIMUxhcldabkpRMFRfZnB5OFo1UDdMUHpObFZVS0p4MWZYYUhmb0piU1V2azlXVmtSdThPMHFBNkFzcw?hl=en-US&gl=US&ceid=US%3Aen
"Kilmar Abrego Garcia expects to be detained by ICE again, attorney says",NPR,2025-08-24T22:28:07Z,https://news.google.com/read/CBMirwFBVV95cUxNQThWWmFRZkxfR3lhU2lNNFNCV0pxN3VKR3gzRkRKNzVINFpCRjM1WXpuZ010Y05SVDNtWVpSN1h3T2xNX052eTcyb0g0TGN2NFUxX1pmOVhtUXJNOGw1cG45UGVnMVNoNURPUENpN1VSc2JFOFEzR19JbEVzbUVLeU5yaWc3RlhNTm5vRnBWUUEzanVXUnN1SGpEcldMMHdLSUM2V2NZM09Kb1BJckpJ?hl=en-US&gl=US&ceid=US%3Aen
Abrego Garcia to appear at ICE office in Baltimore amid talk of Uganda deportation,Fox News,2025-08-25T02:10:39Z,https://news.google.com/read/CBMipwFBVV95cUxPRndTbkFPZmlXU2h1NkpRSkpDMjJocVhmMl9pRUlXSWJiYWJVYkd4U1pPa3VjYXZaX1FYc05KSHhSNXlSMFJIWlBXdnZzMGtfM0UtZjdid1ZieF9RWEFOdGx3RnU3TXV4R3lPREtlV1E4R1plVU9CWnpub1ZuTnl2M081THVIRTZzWlNRMmFOeXV6Wko4RGR0UDZPUUdZMUlrTWJqSi0wZ9IBrAFBVV95cUxNU3FrT1NfRVdDT0FFQ08wUWVuMHRTZDlFYUZKcXUyTFd2TEdrSTBDOFk3WUQ4cF84azhabU95QnFSd2lsQmlZZ0llOW90RkxuU0pUSTkwZXkzU2pDU1lSZXBJUnJsRmRvOS1rUHZBdS1XY1c3VG11YmdkZHh3TTcyUEZUY3dPd2RDV2JoM0xGcnV1Mk1aTmM2WGdDNk1LZW9WbUJPclI1QlZSd2NR?hl=en-US&gl=US&ceid=US%3Aen
Trump administration might deport Kilmar Abrego Garcia to Uganda,CNN,2025-08-23T15:41:00Z,https://news.google.com/read/CBMif0FVX3lxTFBCOWdBd1ZtUExfWWV3ekVmdHFQWFRPYlZZdUV0R18tVXRvUmg5bHdKQXphajhpaXllZFFlWEJRWk1iMmxQTkx4LVlraWEwQXRtcjF2bURuYWgyNnVYUTJVTzJvbm1FZnhDV2hfczBCOVBhVGgxcmFLY2lsLXhYYUnSAYQBQVVfeXFMTWVoYVIwUFZZYnhZd3E4VFY0dkxYZmFPcXRtb2ZQX2JQQlV0MFdoSjJTRWdTZkVCYnF2eHUxSjgtWGhObmpnV0MtcUJUM0JiUGItSTRNYnFfOFZ0VVl2cUptYXllVm9zaERnTnV4RWZONVRnanpiSjQ5Q3JYMml3TkFSXzZF?hl=en-US&gl=US&ceid=US%3Aen
Van Hollen speaks with Kilmar Abrego Garcia ahead of possible Uganda deportation,WBFF,2025-08-24T18:14:27Z,https://news.google.com/read/CBMihgNBVV95cUxQbUkwZUdYemVqTHVCRjd0X3pyTzdZMlkwNkctbUJQbGhlTUJHcEtUMzcwOGJ5TVdfVV9pNUV5MFVBaWprdUd3cVRUOUZ1SVNmY1RrZDF6WDl2bU81ekY3UEozVTRVdXAxOG1kUWJyRzJvWFEzQ0tIamJmU2lrQlRLWjhqREdwR3FYQXMtUy1PQWxCQTZrbVJ1RVpYbGZKaDFVM01HY1FxYnNnWXUzQWg4QVREZ2xHZGVicXlWOU9KamJuVlE5SzRMZGJXdW44RG9veDFnN2NINUhIYXkzNmtDQ3o4ekhwZTlWc2piMjRBOGl5REV4dnh2T0pWT1AzdjlsN2E2VWRPT2ZNR0FqZVlGQUQ3M2YyUlFqcGM3NktGTk9IQ1ZIMlRiSGpNSk1sWkJaZmxSUmQ5LWlzQkhyMFFoR0d6cEVNOHJ2M3NSUy05ZW9iSUt6NU1yc2dWT2FPWVFCc1pKcG4xdWsxVXR6elgwX01sclBmWEh5dFBWaUpSeVJPdFNOR3c?hl=en-US&gl=US&ceid=US%3Aen
National Guard Patrols Begin to Carry Weapons in D.C.,The New York Times,2025-08-25T02:39:40Z,https://news.google.com/read/CBMiigFBVV95cUxQel9OejB5ME9uUk5fdVRZd1lHWVlfTjBSVzNrVTdhMHlBSUo2NzBnQ3UzWTh6UU5HM1RFRG5XRTVYcHZuRTF4S0YxSmZrZktUSmM0TGpJclBNU1NnODhhV2JRZnFqYmpMODA0al9KVU1kS3pKbGpfTnA2dXVsT2dPNUpuRmpzWloxUlE?hl=en-US&gl=US&ceid=US%3Aen
"National Guard troops in Washington, DC, begin carrying weapons",CNN,2025-08-25T01:45:00Z,https://news.google.com/read/CBMic0FVX3lxTE9QcTF0ZHlYTHh5eWowWkRFYndjNXlpU09kU0xGdk5BN3JONjk1UHZ3M2l5NTNuYnRfaEF0clZ6SWxjSlVBWGtqQ1FEbUh4TDUtVFpaOHk4b2JhdE00Mm4ycFktaFpjMDM2UFBVUzlEbWVaN2_SAXhBVV95cUxNVGJVREp1X3JoaGxVYW9iS3ZLbzZWWXM2SzdKWG1zSFM3TFFkblBMNU9VTDdCT1NiMVNCX0xSYzBuc2tUcm02OUREMEFJX3pIS0xBYW54akRoWlJTR1c5WlRRNzIxaFo5bDRaSnE4SFh0ejRqbzljNW8?hl=en-US&gl=US&ceid=US%3Aen
