Title,Publisher,DateTime,Link
"As COVID-19 cases slowly rise again, 1 in 4 nursing homes in N.J. report an outbreak",NJ.com,2023-09-01T01:38:00Z,https://news.google.com/articles/CBMifWh0dHBzOi8vd3d3Lm5qLmNvbS9jb3JvbmF2aXJ1cy8yMDIzLzA4L2FzLWNvdmlkLTE5LWNhc2VzLXNsb3dseS1yaXNlLWFnYWluLTEtaW4tNC1udXJzaW5nLWhvbWVzLWluLW5qLXJlcG9ydC1hbi1vdXRicmVhay5odG1s0gGMAWh0dHBzOi8vd3d3Lm5qLmNvbS9jb3JvbmF2aXJ1cy8yMDIzLzA4L2FzLWNvdmlkLTE5LWNhc2VzLXNsb3dseS1yaXNlLWFnYWluLTEtaW4tNC1udXJzaW5nLWhvbWVzLWluLW5qLXJlcG9ydC1hbi1vdXRicmVhay5odG1sP291dHB1dFR5cGU9YW1w?hl=en-US&gl=US&ceid=US%3Aen
"COVID-19 cases increasing across Los Angeles County, most of California",KTLA 5,2023-08-31T23:42:42Z,https://news.google.com/articles/CCAiC2lpMVVrYThqWWtzmAEB?hl=en-US&gl=US&ceid=US%3Aen
What to Know About the New COVID Mini-Wave,New York Magazine,2023-08-31T16:52:00Z,https://news.google.com/articles/CBMiV2h0dHBzOi8vbnltYWcuY29tL2ludGVsbGlnZW5jZXIvYXJ0aWNsZS93aGF0LXRvLWtub3ctYWJvdXQtdGhlLW5ldy1jb3ZpZC1taW5pLXdhdmUuaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen
COVID cases rise in California,NBC Bay Area,2023-08-31T04:02:11Z,https://news.google.com/articles/CCAiC3dUdTB4dzY4LWN3mAEB?hl=en-US&gl=US&ceid=US%3Aen
"Houston hospital reports Texas' first case of COVID, BA.2.86 variant",Houston Chronicle ,2023-08-31T22:31:32Z,https://news.google.com/articles/CBMigAFodHRwczovL3d3dy5ob3VzdG9uY2hyb25pY2xlLmNvbS9uZXdzL2hvdXN0b24tdGV4YXMvdHJlbmRpbmcvYXJ0aWNsZS9mb3VydGgtbmV3LWNvdmlkLXZhcmlhbnQtY2FzZS1mb3VuZC1pbi1ob3VzdG9uLTE4MzQwNzgyLnBocNIBAA?hl=en-US&gl=US&ceid=US%3Aen
New COVID variant BA.2.86 confirmed in Ohio,WBNS 10TV,2023-08-31T22:25:22Z,https://news.google.com/articles/CCAiC0JReVpFYzZuS09ZmAEB?hl=en-US&gl=US&ceid=US%3Aen
Texas becomes FIFTH US state to detect 'most infectious Covid variant ever' BA.2.86,Daily Mail,2023-08-31T21:38:18Z,https://news.google.com/articles/CBMicmh0dHBzOi8vd3d3LmRhaWx5bWFpbC5jby51ay9oZWFsdGgvYXJ0aWNsZS0xMjQ2Nzg0NS9UZXhhcy1GSUZUSC1zdGF0ZS1kZXRlY3QtaW5mZWN0aW91cy1Db3ZpZC12YXJpYW50LUJBLTItODYuaHRtbNIBdmh0dHBzOi8vd3d3LmRhaWx5bWFpbC5jby51ay9oZWFsdGgvYXJ0aWNsZS0xMjQ2Nzg0NS9hbXAvVGV4YXMtRklGVEgtc3RhdGUtZGV0ZWN0LWluZmVjdGlvdXMtQ292aWQtdmFyaWFudC1CQS0yLTg2Lmh0bWw?hl=en-US&gl=US&ceid=US%3Aen
Covid 2023: This Fall's New Variants and Vaccines Explained - WSJ,The Wall Street Journal,2023-09-01T01:00:00Z,https://news.google.com/articles/CBMiUGh0dHBzOi8vd3d3Lndzai5jb20vaGVhbHRoL3dlbGxuZXNzL2NvdmlkLWZhbGwtMjAyMy1uZXctdmFyaWFudC11cGRhdGVzLWMxMTM1Y2U20gEA?hl=en-US&gl=US&ceid=US%3Aen
Emergent launches OTC overdose drug so 'anyone can save a life',FiercePharma,2023-08-31T13:55:00Z,https://news.google.com/articles/CBMidWh0dHBzOi8vd3d3LmZpZXJjZXBoYXJtYS5jb20vbWFya2V0aW5nL2VtZXJnZW50LWxhdW5jaGVzLW90Yy1vcGlvaWQtb3ZlcmRvc2UtZHJ1Zy1jaGFyZ2luZy00NS1zby1hbnlvbmUtY2FuLXNhdmUtbGlmZdIBAA?hl=en-US&gl=US&ceid=US%3Aen
Opioid overdose treatment Narcan coming to store shelves,Yahoo Finance,2023-08-31T20:15:01Z,https://news.google.com/articles/CCAiCzUtNl9ESjBrZmt3mAEB?hl=en-US&gl=US&ceid=US%3Aen
