Title,Publisher,DateTime,Link
France summons US Ambassador Kushner over allegations concerning antisemitism,The Hill,2025-08-25T01:40:00Z,https://news.google.com/read/CBMijgFBVV95cUxQeDE4MWRTWFM5UGVaa1U2WERrcC1NUkNGWTlYb080UDBSMnpPS3prLS0yVlRlRjhYTnRZRVl1Y1ZVS2poQndLalF2MWhiVWtWUnpTSFhZUW9jeEdqcG02Q0pqOWdwbV8taW9WRkZ4TDFBQUtvcWg0WU4zdFdfUlp4ZWpoQWdQX0dubno3YWFn0gGTAUFVX3lxTE5FRkQ1MC02TlJ0OXJrbmExemsxemlBVXJRYXI3eXhnWjF5dFotcFZyaWZGMzdLeWZyal9hQkFzd0RtZUhmc1hXNE9pYlRRNG5YYUZFcnZFNEpvWjcwd1RZQ1RkNmtWNExMcGlVeG80UUZENU9CazRObzl1LXVaYnBvVEtkRkI3WVhqVEt4UXJzM3dQaw?hl=en-US&gl=US&ceid=US%3Aen
France summons US envoy Charles Kushner over antisemitism claims,BBC,2025-08-25T00:13:00Z,https://news.google.com/read/CBMiWkFVX3lxTE1mbkF3dDZ2WU1nUTB3Wk53NGthYjNmOElJLWp3X1lSc004NHBzZ1JFTzlEaFBtY0s5M09XMXdaVjhRazVYXzBIZW16SDhWbjdWYmx1MG9yVEtqUQ?hl=en-US&gl=US&ceid=US%3Aen
France summons US ambassador Charles Kushner over antisemitism allegations,The Guardian,2025-08-25T00:13:00Z,https://news.google.com/read/CBMioAFBVV95cUxQaVhxb0pkZUdVNU5PendrUThSb0FLMXV6emptRE9zcE5XcndIWUVwaW1vbWlsSEJIZ0pGUFdUWkFJSDdia0diNkxWb1JCUTB6eHBzeTFZM3VqYXVuYUV5T2FXeWtFWUhfbHBMNUxXeElQRGRqTUFtVWxKeXV5N2pBOWRYem9CV3AzeWJXX2dCSHZXVE9PSVAyMlhrT2pJUzc1?hl=en-US&gl=US&ceid=US%3Aen
Opinion | A Letter to Emmanuel Macron,The Wall Street Journal,2025-08-24T17:36:00Z,https://news.google.com/read/CBMickFVX3lxTFA0YWhkYjdRemcwQTNfaGlweTBPTWNlbzZ4N080Z1JqWU04ejJDQ1dubTR2TEpHR2MzeFo1dTd3YW94Z0FpY0RDdi1TNnd4cWdLM1ZxcHgyVnB2MnItbks3VjJuYWt0cERxcEc4T1ZrcDNJQQ?hl=en-US&gl=US&ceid=US%3Aen
Israel strikes Yemen after Houthis fire new type of missile,CNN,2025-08-24T15:12:00Z,https://news.google.com/read/CBMif0FVX3lxTFBKcTBIQi15QW8zdDNqbERGelA3a2ttR2x5dFRxenZmV1gxTkptRDhPUTZaQmpPd0RWc1AyUVdkX1MwYUNPS0MydDhES3BYYzdBNFAtanJ1TnZqV3RVb0FCMEx3d2VjLTNHYldrTVVnX05uOUpYWHFHQWhoTlo5UDDSAYQBQVVfeXFMTmpDTUZnakJwcC03OW56dkR3UzhSVGdGaTdRb2hpdlZrakxfNUNKTkZiLVdBTGtjY2tIYkR5bUFnZk4tZWlYSVN1NEJZX3JWN1hIcVZJcHZrenVKMUZCdkJtXzRTbXZ3eS1jOGtpLXBBeTRGd0tUdTA1XzNLQ0F1ZVcwTFpS?hl=en-US&gl=US&ceid=US%3Aen
"Israel strikes on Yemeni capital Sanaa kill six, wound dozens",Reuters,2025-08-24T22:06:04Z,https://news.google.com/read/CBMisAFBVV95cUxOOVhqbEYwTUdKV0FFRUVMOGV5d1JkaE00Q2FZdC1veXBjLVVueHcyWVpkdXlvWDViaFpHTnBuV0xqNkpxMTVjQTN1RnhfX2VObkQ0SWViMDBNTE41UkhwT2pqNm9uTVBqUGU4Y1pncU9YWEtQR0xaTGNpOHdDRV9wQUU2SEs4c1haZHVpSjFvemp4R3JtNU44VlhXcFZEWEFURjRNSWt5d2w3UllVRkt3cw?hl=en-US&gl=US&ceid=US%3Aen
Israeli strikes hit Yemen’s capital in retaliation for earlier Houthi attacks,The Guardian,2025-08-25T00:32:00Z,https://news.google.com/read/CBMivwFBVV95cUxONFA1ZWF4cHlUYjF4WU9WWGpMbnF2cW5FU19UUHBHeG0wWVJwXzYyWjEwR3g1cGZxOTd3VlR0NDdKekdjSktKbGwyMEpWYmtFN2dnWExyYW1OTVZMWHlGbzFXVEYwdTc1NG5nWlROQW1XaHNIcjNxaHpKYU9OUnBRaXVIUmhWZ0VCV0NkZE9JZmRfUDBkS1ZjRHZ3X3Z2SkVrVkNGeTRXYWxXajVKUGU5cmlOQ2kxMzJ6cFVGNFJSTQ?hl=en-US&gl=US&ceid=US%3Aen
Israeli airstrikes targeting Iran-backed Houthis rock Yemen's capital,The Washington Post,2025-08-25T01:28:53Z,https://news.google.com/read/CBMixgFBVV95cUxQc0dBZWl6QnFIOExscG95andaLXFCYmVtMkViSHBkemc5Y0FfdWFTM1FiZDgxTlZKcXd1bnRETThFWDVEd214cmFfTzFBTWoyNWNEdGhxZ3hZaFNYQURZdzYxWXptcjA1SzBMVWV5d05lMnhnRUl5RDgwNmw3d1ZYRGwzT2Rtdjk4QUk2OExKS3ItMmVoQUZwd1lRdnpGc1VBRWphQW9NN2JvekxJRk5fbS1RUHBtRXQ0SlVYNEFZUTFtZktwRHc?hl=en-US&gl=US&ceid=US%3Aen
"4 Palestinians shot dead by Israeli forces while seeking aid near Gaza City, witnesses say",MPR News,2025-08-24T17:21:00Z,https://news.google.com/read/CBMiygFBVV95cUxOM2hOTW9mMkxFWXpwZXhYMEd2RG5VMGw1bk1LQUJlcXVJbVJPak94czRWV3ZCQ0FtTkdGeHBFbVc3Nm1XU1VjU09Mek9TWXgzZmFub21URGJDX01JY2dNbWp2aDJTQ1RzZWUxUjlXOEN4RGdCTDRUN0lYVzVuVFVWbXNkQnRnWWRoS05xS09lekpLWW1JTElCNWQzb3BUb3lNdExIaEZZNVZKclRhZ2pnYlc5WHhPNlJjQWpwNk1XQjlfSXNSblVHTWRn?hl=en-US&gl=US&ceid=US%3Aen
Israel pounds Gaza City in preparation for planned offensive,BBC,2025-08-24T12:18:44Z,https://news.google.com/read/CBMiWkFVX3lxTE05cVl0LXdlUGJSa1FkbHpxZFFQelg3TVoyWmtORnhJQnZkcFJvcDUyUG1sM29rUFhjYVBRUF94amJiaXNOUjFNOW5vbm41NVJWRmlIcnhqZTJEZw?hl=en-US&gl=US&ceid=US%3Aen
